price,volume,sma
17.85,154826159,13.38
17.37,246484434,13.42
17.38,247287433,13.45
17.24,202387766,13.48
17.14,147490767,13.51
16.63,220262515,13.54
16.73,287742502,13.56
16.83,177506855,13.59
17.14,177551020,13.62
17.31,216086922,13.65
17.41,65380146,13.68
17.66,101579322,13.71
17.41,118141168,13.75
17.45,102892225,13.78
17.18,95404263,13.81
17.02,172921733,13.84
17.03,130587647,13.87
16.32,215195594,13.89
16.13,257096061,13.92
15.69,214364490,13.94
16.23,270598482,13.96
16.07,254317685,13.98
15.86,199826201,14.01
16.24,178566813,14.03
15.84,223562839,14.05
15.3,423983259,14.07
14.93,329903943,14.09
14.91,342864341,14.1
14.52,381484558,14.12
13.63,681171664,14.13
14.27,377445475,14.14
14.07,279684411,14.15
13.81,233540097,14.16
13.68,252262009,14.17
13.62,318774383,14.18
14.02,597081651,14.2
12.82,706658840,14.2
12.31,528256642,14.2
12.59,449811709,14.21
12.47,306600924,14.21
12.55,318344779,14.21
12.84,274179856,14.22
12.95,233913491,14.22
12.87,267490877,14.23
13.28,265981240,14.23
13.22,260039050,14.24
13.16,210389647,14.25
12.65,254968114,14.26
12.65,267486862,14.26
12.49,227963272,14.26
12.62,221462998,14.27
12.09,336167332,14.27
11.53,934983461,14.27
11.75,406393575,14.27
11.81,264463573,14.27
11.71,378429149,14.28
11.35,303312645,14.27
11.05,546910299,14.27
11.12,298578968,14.27
10.75,299923991,14.26
10.77,324082204,14.26
10.28,320701579,14.25
10.93,354399416,14.25
10.94,267073318,14.24
11.01,310222448,14.24
10.88,263961699,14.23
10.43,316710676,14.22
10.91,290573072,14.21
10.73,248086416,14.2
10.77,398022314,14.19
11.44,271554050,14.18
11.2,234138331,14.18
11.38,209811488,14.17
11.03,234162421,14.16
10.88,175704123,14.15
10.94,178522648,14.14
11.57,244637537,14.14
11.57,240859429,14.13
11.31,272152284,14.13
11.7,236772166,14.12
11.85,238631108,14.12
11.62,182561731,14.11
11.53,242830791,14.1
11.65,203656504,14.1
11.37,167413162,14.09
11.22,154280120,14.08
11.1,183790319,14.07
11.31,306372069,14.06
11.17,536122013,14.05
13.4,732158060,14.05
13.36,298703433,14.05
13.79,318730218,14.05
13.58,197597880,14.05
13.49,166023975,14.05
13.52,167200368,14.05
13.72,160945009,14.05
13.88,174491595,14.05
14.27,317304895,14.06
14.74,265101957,14.06
14.44,281001329,14.07
14.78,252181709,14.07
14.57,185866070,14.08
14.39,265511486,14.09
14.49,205684075,14.1
14.24,180068420,14.1
14.53,195285244,14.11
14.48,207314163,14.12
14.32,175688063,14.13
14.44,174359100,14.14
14.41,171604815,14.15
14.35,225020282,14.16
14.38,133040807,14.16
13.66,259693761,14.17
13.65,203813089,14.17
13.53,177924414,14.18
13.94,155199554,14.18
14.12,162623276,14.19
14.48,194526410,14.2
14.55,129491554,14.21
14.29,147518872,14.22
14.09,172857493,14.23
14.22,135032244,14.23
14.57,157255230,14.25
14.09,190089843,14.25
13.86,212324874,14.26
13.77,146844353,14.26
13.55,153087667,14.27
13.74,220487355,14.27
14.2,248303226,14.28
14.23,142243171,14.29
14.15,139035192,14.3
13.97,135754943,14.3
13.92,228176066,14.31
13.58,240221045,14.31
13.55,145981130,14.31
13.47,187604562,14.31
13.69,165506041,14.32
13.14,227228528,14.32
13.12,218716743,14.32
13.08,151176531,14.32
13.29,199139637,14.32
13.09,169553154,14.32
13.34,96379907,14.32
13.51,170845981,14.32
13.78,198035514,14.32
13.46,166782808,14.32
13.43,173917451,14.31
13.26,200002860,14.31
12.96,177655409,14.3
12.82,243750224,14.3
13.31,190398997,14.29
13.25,352813493,14.29
11.96,453389067,14.28
11.65,236944811,14.26
11.85,188363396,14.25
12.15,196497772,14.24
11.82,142166886,14.22
12.22,127817302,14.2
11.85,126873778,14.18
12.0,112532223,14.17
11.99,140151360,14.15
11.77,115033564,14.13
11.62,120766974,14.11
11.5,99852875,14.09
11.92,143917423,14.07
12.08,135538133,14.05
11.9,111367875,14.03
12.3,150132633,14.01
12.44,170207597,13.99
12.49,110641162,13.96
12.42,145563571,13.94
12.56,117181585,13.92
12.67,142359606,13.9
12.38,133855851,13.87
12.19,122316761,13.85
12.05,159881036,13.82
12.09,141090868,13.79
12.19,92232419,13.76
12.0,80874004,13.73
11.78,132823998,13.7
11.64,176141757,13.67
11.77,121642242,13.66
11.51,154504960,13.63
11.56,245376296,13.61
11.54,173230887,13.59
11.19,194666935,13.57
11.04,182051827,13.54
10.43,362068052,13.51
10.4,290267933,13.48
10.29,250005583,13.45
10.78,259826256,13.42
10.87,242023777,13.39
10.78,263680649,13.36
11.0,280676114,13.33
10.3,366444394,13.3
10.91,344863807,13.27
11.16,401740198,13.24
10.69,176952786,13.2
10.67,208948265,13.17
10.81,170316002,13.13
10.92,201564693,13.1
10.71,212493504,13.06
9.47,432129680,13.02
9.95,123914728,12.99
10.23,250326782,12.95
9.7,240293315,12.92
9.61,320914374,12.88
9.22,450506303,12.85
8.6,443833384,12.8
8.4,474829130,12.76
8.17,324210683,12.71
8.25,425500926,12.67
9.47,357555200,12.63
9.01,312559174,12.58
8.43,269863738,12.54
8.77,652022815,12.5
9.26,572104380,12.46
9.42,271148536,12.42
9.01,232146894,12.39
8.84,263383540,12.36
8.75,260127380,12.32
8.43,295463334,12.28
8.19,248957670,12.24
9.16,325431241,12.21
8.89,391726805,12.17
8.94,320753774,12.14
8.93,298044974,12.11
8.61,239072757,12.08
9.12,295097969,12.05
8.5,278901487,12.03
8.23,344277618,11.99
8.23,187953866,11.97
7.92,324415448,11.94
7.74,407385278,11.91
7.23,403550960,11.87
7.75,531372276,11.84
7.7,382110897,11.82
7.46,302883041,11.79
7.39,335095329,11.77
6.96,314558640,11.74
6.45,392642224,11.71
6.52,411315956,11.68
6.4,403695499,11.64
7.01,432462924,11.62
7.26,255217044,11.59
7.28,103004645,11.56
6.61,229304279,11.52
6.84,234463545,11.49
6.94,237077306,11.47
6.82,196196647,11.44
7.06,261825722,11.41
7.51,326993073,11.39
7.6,276629001,11.37
7.67,210265182,11.35
7.46,248094446,11.32
7.85,229741913,11.31
7.72,270526212,11.29
8.08,283442445,11.27
7.83,232456049,11.26
7.71,191254191,11.24
7.71,225345496,11.23
7.38,157291365,11.21
7.4,151674390,11.19
7.53,77148090,11.18
7.46,78657728,11.16
7.39,148631025,11.14
7.53,154316255,11.13
7.64,115904817,11.11
7.98,144961322,11.1
8.15,196293007,11.08
8.3,257971329,11.07
8.0,180453860,11.05
8.08,144567852,11.04
7.83,174270770,11.02
7.77,132667413,11.0
7.81,177964564,10.99
7.48,219535801,10.97
7.43,238269759,10.95
7.45,209759293,10.93
7.03,202684876,10.9
7.53,197718329,10.88
7.62,331919470,10.86
8.07,430921167,10.85
8.05,185119281,10.83
8.24,197830749,10.81
8.66,308809170,10.8
8.53,292444059,10.79
8.41,187580472,10.77
8.46,209056670,10.76
8.46,263243015,10.73
8.52,273718132,10.71
8.79,291665150,10.68
9.22,282579221,10.66
9.41,199838246,10.64
8.91,285213056,10.62
8.9,210048373,10.59
9.02,222844155,10.57
8.89,166489714,10.54
8.51,228067661,10.51
8.77,241883252,10.48
8.51,200295955,10.45
8.61,249616129,10.42
8.2,209626799,10.39
8.58,244749957,10.36
8.49,258529413,10.33
8.38,225064447,10.3
8.4,217612620,10.27
8.13,232407869,10.24
8.09,261970262,10.21
7.92,313908211,10.18
7.59,262175027,10.14
7.67,290452622,10.11
7.23,259822241,10.08
7.66,270217058,10.05
7.9,237832124,10.02
8.04,201717262,9.99
8.06,156841686,9.96
7.94,198613673,9.93
8.33,189206544,9.9
8.28,201239478,9.87
8.2,165064391,9.84
8.2,190226352,9.81
8.66,171500425,9.78
8.63,153372732,9.75
8.55,174102141,9.72
8.78,241032074,9.7
8.64,133410187,9.67
8.51,124227898,9.65
8.65,146760038,9.62
8.8,132542948,9.59
9.01,180192885,9.57
9.19,152160204,9.54
9.15,131703815,9.52
8.91,147755757,9.5
8.99,111022586,9.47
9.25,135811153,9.45
9.39,122461301,9.43
9.17,137658049,9.41
9.43,197967259,9.39
9.66,408931050,9.37
9.75,430840867,9.36
9.42,177820024,9.34
9.48,148370051,9.32
9.54,140597024,9.3
9.56,104751167,9.28
9.68,135923572,9.26
9.59,91967429,9.24
9.53,118185333,9.22
9.73,144941247,9.21
9.84,174881049,9.19
9.78,97471985,9.17
9.99,128600225,9.16
10.01,96391952,9.15
10.02,105710750,9.14
9.85,120441759,9.13
10.12,155183494,9.12
10.14,102755715,9.11
9.91,152200354,9.1
9.68,114138220,9.09
9.63,117920344,9.08
9.69,120799094,9.06
9.86,134570520,9.06
9.91,113925426,9.05
9.87,91702440,9.04
9.85,109199779,9.03
9.78,69001669,9.02
10.05,124645457,9.01
10.08,121826932,9.0
10.2,107152133,8.98
10.37,106325044,8.97
10.6,133394127,8.97
10.64,105337356,8.96
10.72,141841672,8.95
10.94,146069460,8.94
11.04,147783862,8.93
10.9,124412588,8.93
10.82,130684007,8.92
10.75,134859599,8.91
10.66,115037579,8.91
10.56,117173555,8.9
10.35,150036273,8.89
10.34,122445241,8.89
10.31,140127270,8.88
10.29,123870563,8.87
10.44,171002566,8.87
10.12,165594371,8.86
10.08,116418737,8.86
10.17,98680498,8.86
10.33,122236461,8.86
10.57,130756276,8.86
10.54,87097243,8.86
10.47,104144903,8.86
10.41,92778458,8.85
10.15,101081463,8.85
10.18,90843231,8.85
9.85,130860666,8.84
10.0,138163938,8.84
10.2,131515110,8.84
10.3,117502785,8.83
10.54,162434571,8.83
10.55,116266167,8.83
10.89,151646285,8.83
11.0,263162715,8.84
10.69,275191634,8.84
10.69,126612804,8.85
10.63,119173022,8.85
10.63,103855823,8.85
10.87,139649486,8.86
11.1,145619780,8.88
11.05,100551484,8.89
10.93,101679697,8.9
10.84,79777911,8.92
11.07,128423566,8.92
11.01,114844859,8.93
11.24,104000363,8.95
11.27,95950302,8.96
11.21,94031136,8.97
11.19,84752487,8.98
11.36,102105287,8.99
11.34,69941178,9.0
11.28,68756755,9.02
11.39,94007046,9.03
11.49,80107140,9.05
11.43,67255147,9.06
11.05,105200846,9.07
11.06,94396500,9.08
11.03,90538092,9.09
11.44,160555554,9.1
11.56,142953825,9.12
11.65,98503838,9.13
11.71,93990986,9.15
11.63,79810030,9.17
11.58,80255695,9.18
11.55,71129616,9.2
11.47,78609548,9.23
11.32,104185053,9.24
11.26,72462593,9.26
11.37,66094814,9.28
11.46,60192775,9.3
11.39,106666319,9.32
11.53,88145156,9.35
11.7,101764012,9.37
11.73,76401301,9.4
11.8,79324216,9.42
11.86,96283547,9.45
12.13,103799614,9.47
12.22,179996150,9.5
12.21,131832295,9.53
12.35,84973311,9.55
12.4,122103967,9.58
12.38,108573440,9.61
12.34,101482963,9.63
12.24,82291296,9.66
12.39,73847766,9.68
12.39,84282733,9.7
12.32,126139035,9.73
12.1,112949783,9.75
12.04,104421937,9.77
12.14,86105539,9.79
12.39,109701653,9.81
12.86,195698788,9.84
12.78,172797268,9.87
12.83,109934523,9.89
13.02,133386097,9.92
13.07,121951397,9.95
13.3,130824531,9.98
13.17,244930632,10.01
13.66,355001664,10.04
13.72,129198459,10.07
13.71,162354271,10.09
13.69,147374332,10.12
13.77,93810311,10.15
13.76,96066737,10.18
13.77,119261352,10.21
13.62,129142249,10.24
13.42,103096990,10.26
13.69,101282213,10.3
13.32,139260032,10.32
13.27,128564090,10.35
13.35,95564863,10.39
13.42,93657741,10.41
13.63,74185025,10.44
13.69,73341877,10.47
13.98,106393299,10.5
14.08,89566463,10.53
14.18,93135792,10.56
14.11,75734813,10.59
14.21,66921903,10.62
14.32,88297726,10.65
14.35,76955370,10.67
14.33,62216331,10.7
14.24,87045048,10.73
14.16,80548789,10.76
14.47,102281946,10.78
14.49,64448667,10.81
