price,volume,sma
14.89,4944586,10.59
14.79,5211884,10.62
15.18,4280117,10.65
15.39,5634359,10.69
15.95,4749565,10.72
15.62,3394763,10.74
14.78,4011841,10.76
15.12,2906442,10.78
15.07,2820745,10.8
14.79,1867309,10.82
14.89,4092226,10.83
14.85,3295925,10.85
14.83,2813056,10.86
15.12,4707905,10.89
14.75,2312432,10.91
14.88,1825928,10.93
13.93,4798076,10.95
13.78,3201979,10.97
13.51,2198355,10.99
13.68,1967405,11.0
13.35,2048629,11.02
13.43,3335348,11.03
13.27,3370159,11.04
13.88,5273815,11.06
13.9,1366685,11.08
14.14,2712819,11.1
14.13,2300968,11.12
14.26,2103710,11.13
14.31,1250930,11.15
14.42,1346973,11.17
14.53,2226175,11.18
14.63,3097968,11.2
14.68,2324594,11.22
14.48,2534434,11.24
14.39,1295107,11.25
14.5,2141596,11.26
14.17,1475030,11.27
13.87,2337316,11.29
13.93,1727369,11.3
13.81,1520884,11.31
14.49,2841295,11.32
14.54,2505076,11.33
14.98,6588494,11.35
15.04,2703592,11.37
15.27,3168287,11.39
15.33,3488010,11.41
15.45,2092526,11.44
15.86,3614389,11.46
16.19,4598581,11.5
15.62,2868137,11.52
15.68,2606851,11.55
16.22,3873718,11.58
16.0,3241822,11.61
16.06,4589774,11.64
16.15,6865718,11.67
16.76,11798141,11.71
16.72,3588526,11.74
16.44,2583504,11.79
16.41,3320110,11.84
16.72,3855404,11.88
16.77,2946704,11.93
16.92,2086235,11.98
17.07,1332574,12.03
17.07,3194710,12.07
16.78,3279708,12.12
17.08,5003023,12.17
16.9,4743134,12.21
16.25,3072944,12.25
16.58,2987666,12.3
16.21,3697990,12.34
16.01,4613120,12.38
16.47,2696602,12.42
16.45,2314808,12.47
16.37,3442575,12.51
16.58,2578611,12.55
16.41,2362480,12.6
16.79,3739370,12.64
16.9,5827144,12.68
17.13,2859469,12.73
17.07,2761330,12.78
16.94,742058,12.83
16.87,661114,12.87
17.26,2033671,12.92
17.32,1762039,12.96
17.65,3234273,13.0
17.39,2839478,13.05
17.84,5234531,13.09
18.4,4921100,13.14
18.63,4231606,13.19
19.49,7320487,13.24
19.35,4026659,13.3
19.56,3736854,13.35
19.46,5497635,13.41
19.4,4808421,13.47
19.87,6278977,13.52
20.68,5920390,13.58
20.53,5185601,13.64
20.99,6111217,13.7
20.51,5006797,13.76
20.19,3013249,13.82
20.47,4920261,13.88
21.79,30615082,13.95
21.7,7704378,14.02
21.52,5479601,14.08
22.25,7774418,14.15
21.99,4275224,14.22
22.02,5228240,14.28
21.31,3855544,14.34
21.27,3129563,14.4
22.24,4833026,14.46
22.4,4809400,14.53
22.56,2709604,14.59
22.58,3919153,14.66
22.29,2975643,14.72
22.38,2794602,14.78
22.63,4165760,14.85
21.72,12329102,14.91
21.79,5293527,14.97
21.16,4866298,15.02
20.36,5168126,15.08
20.37,6072213,15.13
20.49,3626831,15.18
20.64,2824799,15.24
20.64,4298011,15.29
20.72,3855964,15.35
20.66,2838779,15.4
20.51,2549672,15.45
20.49,2212615,15.51
21.01,3723713,15.57
20.29,3055469,15.62
19.82,5951566,15.67
19.05,7794549,15.72
18.23,8635027,15.75
19.11,6545296,15.8
18.27,4585160,15.84
18.22,4920820,15.87
19.09,5753329,15.91
18.47,4859308,15.95
18.44,4410690,15.98
18.21,4468987,16.01
17.45,6607927,16.04
17.67,5443393,16.07
18.53,4737403,16.11
18.59,3302775,16.14
18.88,3513593,16.18
18.99,3018701,16.22
19.09,3512615,16.25
19.1,3145220,16.29
19.51,4838478,16.33
19.58,3123551,16.37
19.69,2963061,16.41
19.23,3353383,16.45
19.21,2306420,16.49
19.24,1325584,16.53
18.72,3510098,16.56
18.57,3193591,16.6
18.05,4098237,16.63
18.19,4137940,16.66
18.35,2512905,16.69
17.35,4013239,16.72
17.53,5752351,16.74
17.73,3742726,16.76
17.81,3408883,16.79
17.56,3066513,16.81
17.39,2374503,16.83
17.08,3082450,16.85
16.78,3176815,16.87
16.3,3051554,16.88
16.46,4148565,16.9
16.14,7329015,16.92
16.18,5333370,16.94
15.9,2469986,16.95
15.88,4021487,16.97
15.34,6914228,16.98
15.82,5423122,16.99
15.79,5729004,17.0
15.71,4103829,17.02
15.45,3197925,17.03
15.41,4593548,17.04
15.33,12886065,17.05
15.22,7976429,17.06
14.67,5571030,17.07
14.72,3700786,17.08
14.7,4494570,17.1
14.93,6729972,17.11
15.07,5301076,17.12
15.34,5504066,17.13
15.51,4778224,17.14
15.57,6360760,17.16
15.33,4273267,17.17
15.12,4591591,17.18
15.22,3632284,17.18
16.0,5046640,17.18
16.03,3578321,17.19
15.82,4552168,17.2
15.88,2310614,17.2
15.58,3486332,17.21
15.72,3746780,17.21
15.74,2124541,17.22
15.44,3128724,17.22
15.63,3634520,17.23
15.44,2256791,17.23
15.77,3872320,17.23
16.32,3722175,17.24
16.56,5794011,17.24
17.81,10515337,17.25
17.48,4594387,17.26
17.88,4112217,17.28
17.67,4187010,17.29
17.29,4608787,17.3
17.07,2314249,17.31
16.55,3629488,17.32
16.49,3283063,17.33
16.22,2949081,17.34
16.2,2661373,17.34
15.88,4414465,17.35
15.86,2807324,17.36
15.57,3624175,17.37
15.6,3409582,17.38
15.28,2537230,17.39
15.21,2576374,17.39
15.57,4263760,17.41
14.79,5453878,17.41
15.0,4709862,17.42
14.22,5388731,17.42
14.0,4041618,17.42
14.03,4616615,17.42
13.77,5490365,17.42
14.22,5296183,17.42
